Lat,Long,Moho_km
80.08,32.5,70.2
41.7505,-82.6284,52.4
37.69782,-123.0011,20.5
24.726601,-81.052299,35.75
41.7505,-82.628403,48.25
41.75053,-82.628357,47.5
21.51149,-71.1327,30.5
42.029499,-70.052803,28.25
38.39,120.91,34.95
30.58,122.07,31.39
30.71,122.45,31.72
37.9743,124.716,28.9
26.15,119.95,31.7
26.15,119.95,32.0
30.0,114.0,37.1
30.0,116.0,36.2
37.5,122.0,31.6
22.0602,114.303,29.739
-5.7987,110.3449,30.0
-8.27,123.0,28.95
6.20282,115.59638,22.0
6.7095,116.35092,26.0
-4.5224,129.904,37.1
6.20282,115.59638,38.0
6.7095,116.35092,38.0
-39.47,147.32,32.8
17.62,-63.24,24.0
17.49,-62.98,24.0
16.31,-61.07,22.0
13.27,-61.25,24.0
12.49,-61.43,29.0
40.795,13.422,25.5
38.564,14.575,21.6
38.446,14.948,36.3
54.185,7.884,32.0
34.83057927,24.07360862,26.0
42.12111,15.50472,33.0
43.0,6.232070233,25.7289737
56.71,11.54,40.4
54.1847,7.8839,28.5
43.054,16.184,48.8
42.393,16.256,28.7
44.75,14.782,50.9
43.654,15.644,43.4
34.83,24.08,27.0
39.11,23.74,25.0
72.79,-56.14,38.0
72.79,-56.14,32.0
73.104,-21.437,19.7
43.94,-59.85,35.0
40.61,27.58,44.5
40.61,27.58,33.5
25.22,54.2339,31.6
-8.174,156.581,27.0
-17.728,-179.335,23.5
-18.203,-178.814,22.4
-17.246,-178.956,32.8
-18.233,-178.814,25.7
-18.203,-178.814,21.0
-17.246,-178.956,23.5
-18.233,-178.814,23.5
17.49,-62.98,40.0
17.62,-63.24,32.0
18.31,-65.28,23.0
18.35,-64.96,26.0
18.73,-64.33,23.0
24.73,-81.05,36.0
37.7,-123.0,21.0
41.26,-70.14,28.0
41.75,-82.63,53.0
41.75,-82.63,48.0
42.03,-70.05,28.0
43.75,-70.01,27.0
47.08,-124.45,56.0
47.76,-127.76,29.0
48.48,-127.83,30.0
48.78,-123.17,27.0
54.83,-159.59,31.0
59.33,-153.43,34.0
59.34,-153.42,25.0
59.34,-153.36,30.0
59.35,-153.41,37.0
59.35,-153.41,38.0
59.36,-153.46,25.0
59.36,-153.44,38.0
59.36,-153.43,38.0
59.38,-153.44,29.0
59.43,-146.35,67.0
59.43,-146.34,28.0
59.93,-144.42,20.0
62.05,-114.1,42.0
-38.41,-73.89,38.0
-17.96,-38.7,32.0
-77.0,166.69,33.0
34.84,24.09,23.0
54.18,7.88,30.0
77.0,15.53,34.0
72.78,-56.14,38.0
-77.85,-166.67,68.0
-60.74,-44.74,60.0
-54.5,158.96,12.0
-45.47,161.16,14.0
-43.2,168.0,23.0
-42.5,169.0,34.0
-40.25,169.0,15.0
-39.5,170.0,28.0
-37.07,-12.32,58.0
-31.52,159.06,12.0
-29.25,-177.92,11.0
-29.04,167.94,12.0
-29.04,167.96,67.0
-25.07,-130.1,59.0
-21.21,-159.77,10.0
-19.76,63.37,11.0
-18.23,-178.81,18.0
-14.31,-178.12,18.0
-7.93,-14.36,12.0
-4.72,-105.58,10.0
-4.66,-105.97,12.0
-4.6,-105.95,25.0
-4.59,-105.87,28.0
-4.57,-106.04,24.0
-4.5,-105.91,29.0
-4.49,-106.08,20.0
-4.45,-106.26,10.0
-4.09,-104.23,35.0
-4.04,-104.49,20.0
-3.95,-104.35,30.0
-3.93,-104.2,22.0
-3.84,-103.55,10.0
-2.77,-171.72,16.0
-0.51,166.93,19.0
0.0,0.0,28.0
1.35,172.92,13.0
5.54,-87.06,62.0
7.45,151.89,12.0
8.28,73.06,14.0
8.53,179.2,24.0
8.8,167.61,14.0
10.38,114.37,19.0
12.49,-61.43,62.0
13.38,-81.36,28.0
16.31,-61.07,36.0
16.73,-169.53,12.0
17.61,-156.39,18.0
17.75,-161.37,10.0
18.3,-152.98,48.0
18.78,-156.47,48.0
18.91,-150.92,36.0
19.26,-154.39,29.0
19.28,166.65,14.0
19.82,-160.05,11.0
20.38,-158.18,50.0
20.7,116.73,33.0
21.51,-71.13,17.0
22.0,121.58,30.0
22.32,-152.74,19.0
24.2,-154.81,51.0
24.29,153.98,60.0
24.47,123.01,21.0
25.82,131.22,10.0
27.06,142.2,13.0
27.1,142.18,10.0
27.46,-111.61,19.0
28.22,-177.37,13.0
28.27,150.55,49.0
28.72,151.0,20.0
38.72,-28.25,21.0
39.68,-31.11,58.0
41.12,142.59,19.0
45.82,-129.74,69.0
45.94,-129.97,56.0
45.95,-130.01,13.0
47.96,-129.12,20.0
51.55,-178.81,30.0
51.76,-178.77,55.0
51.78,-178.86,39.0
51.82,-178.81,37.0
51.82,-178.78,22.0
52.73,174.1,29.0
53.93,-168.03,26.0
